WS,NAMOBJ,luas_km2
WS ACEH-MEUREUDU,Aceh Besar,2841.0469817684047
WS ACEH-MEUREUDU,Aceh Jaya,11.073147035142869
WS ACEH-MEUREUDU,Bireuen,158.36638534114547
WS ACEH-MEUREUDU,Kota Banda Aceh,56.7205259507568
WS ACEH-MEUREUDU,Kota Sabang,122.02997326804989
WS ACEH-MEUREUDU,Pidie,1409.2771900045989
WS ACEH-MEUREUDU,Pidie Jaya,936.7434654237863
WS AMBON-SERAM,Kota Ambon,236.6577206314164
WS AMBON-SERAM,Maluku,2.3034618591226512
WS AMBON-SERAM,Maluku Tengah,8253.91480433703
WS AMBON-SERAM,Seram Bagian Barat,5016.916050516601
WS AMBON-SERAM,Seram Bagian Timur,5725.446584080358
WS ANAI-SIBERUT-PAGAI-SIPORA,Agam,668.435832959665
WS ANAI-SIBERUT-PAGAI-SIPORA,Kepulauan Mentawai,5983.22246540741
WS ANAI-SIBERUT-PAGAI-SIPORA,Kota Padang,638.4526741348947
WS ANAI-SIBERUT-PAGAI-SIPORA,Kota Padang Panjang,11.298586466045816
WS ANAI-SIBERUT-PAGAI-SIPORA,Kota Pariaman,64.76723515113994
WS ANAI-SIBERUT-PAGAI-SIPORA,Kota Solok,0.0347217262507601
WS ANAI-SIBERUT-PAGAI-SIPORA,Padang Pariaman,1342.155291246983
WS ANAI-SIBERUT-PAGAI-SIPORA,Pesisir Selatan,0.5332595988669475
WS ANAI-SIBERUT-PAGAI-SIPORA,Solok,7.125892127284977
WS ANAI-SIBERUT-PAGAI-SIPORA,Sumatera Barat,0.0682825871474015
WS ANAI-SIBERUT-PAGAI-SIPORA,Tanah Datar,154.6735824600654
WS ASAHAN TOBA,Asahan,3126.997178683532
WS ASAHAN TOBA,Batu Bara,32.72306316096554
WS ASAHAN TOBA,Dairi,155.33001588146632
WS ASAHAN TOBA,Humbang Hasundutan,377.700716297597
WS ASAHAN TOBA,Karo,79.82463817004805
WS ASAHAN TOBA,Kota Tanjung Balai,60.07206217912066
WS ASAHAN TOBA,Labuhanbatu Utara,0.8795979269141133
WS ASAHAN TOBA,Samosir,1576.4934827556294
WS ASAHAN TOBA,Simalungun,519.3078236654069
WS ASAHAN TOBA,Tapanuli Utara,263.3123403849892
WS ASAHAN TOBA,Toba,1215.9106758600478
WS BALI-PENIDA,Badung,398.7492472883962
WS BALI-PENIDA,Bangli,526.7640505728754
WS BALI-PENIDA,Buleleng,1322.682039353759
WS BALI-PENIDA,Gianyar,364.3581635590576
WS BALI-PENIDA,Jembrana,849.1337608696247
WS BALI-PENIDA,Karangasem,839.317446461814
WS BALI-PENIDA,Klungkung,313.9600769060663
WS BALI-PENIDA,Kota Denpasar,125.87164561899375
WS BALI-PENIDA,Tabanan,849.314045499227
WS BANGKA,Bangka,3016.846793861531
WS BANGKA,Bangka Barat,2851.408284034936
WS BANGKA,Bangka Selatan,3598.238733765574
WS BANGKA,Bangka Tengah,2259.981634198941
WS BANGKA,Kota Pangkal Pinang,104.541536916082
WS BARITO,Balangan,1823.2667600071784
WS BARITO,Banjar,4481.718920428536
WS BARITO,Barito Kuala,2425.998686152488
WS BARITO,Barito Selatan,6267.084173959291
WS BARITO,Barito Timur,3212.515244965149
WS BARITO,Barito Utara,9858.07380710458
WS BARITO,Gunung Mas,210.94818423386107
WS BARITO,Hulu Sungai Selatan,1695.8883265405725
WS BARITO,Hulu Sungai Tengah,1387.3012414569027
WS BARITO,Hulu Sungai Utara,907.49076848499
WS BARITO,Kapuas,16812.66059023936
WS BARITO,Kapuas Hulu,2.61313902821878
WS BARITO,Kota Banjarbaru,305.1526485605381
WS BARITO,Kota Banjarmasin,98.37205357877365
WS BARITO,Kotabaru,39.82577448978408
WS BARITO,Kutai Barat,39.08373026801714
WS BARITO,Mahakam Ulu,37.59504142086666
WS BARITO,Murung Raya,23531.325948922597
WS BARITO,Paser,13.099923926793377
WS BARITO,Pulang Pisau,390.3236390947448
WS BARITO,Sintang,3.2852940022447785
WS BARITO,Tabalong,3344.401083683213
WS BARITO,Tanah Bumbu,55.66470229809276
WS BARITO,Tanah Laut,1501.2882390608502
WS BARITO,Tapin,2155.938994970551
WS BARU-KLUET,Aceh Barat Daya,417.7023771853273
WS BARU-KLUET,Aceh Selatan,3626.6290054086166
WS BARU-KLUET,Aceh Tenggara,952.514984908778
WS BARU-KLUET,Gayo Lues,320.0982472737068
WS BARU-KLUET,Kota Subulussalam,32.15235808969095
WS BARUMUN-KUALUH,Asahan,273.9340027201127
WS BARUMUN-KUALUH,Labuhanbatu,2751.008818625187
WS BARUMUN-KUALUH,Labuhanbatu Selatan,2278.083084544958
WS BARUMUN-KUALUH,Labuhanbatu Utara,3685.133204565308
WS BARUMUN-KUALUH,Mandailing Natal,9.009315958888727
WS BARUMUN-KUALUH,Padang Lawas,1805.871957295598
WS BARUMUN-KUALUH,Padang Lawas Utara,3404.0091921971843
WS BARUMUN-KUALUH,Rokan Hilir,139.79432695044642
WS BARUMUN-KUALUH,Tapanuli Selatan,1154.359199262576
WS BARUMUN-KUALUH,Tapanuli Utara,807.1259297074108
WS BARUMUN-KUALUH,Toba,1075.705379692493
WS BATANG ANGKOLA-BATANG GADIS,Kota Padang Sidempuan,159.29837477793615
WS BATANG ANGKOLA-BATANG GADIS,Mandailing Natal,3826.883310285196
WS BATANG ANGKOLA-BATANG GADIS,Padang Lawas,4.623169411237947
WS BATANG ANGKOLA-BATANG GADIS,Padang Lawas Utara,2.233266373503335
WS BATANG ANGKOLA-BATANG GADIS,Pasaman,0.9177185609012908
WS BATANG ANGKOLA-BATANG GADIS,Pasaman Barat,0.0011894688437916
WS BATANG ANGKOLA-BATANG GADIS,Tapanuli Selatan,1527.9221431845085
WS BATANG GANGSAL,Indragiri Hilir,2433.849901883181
WS BATANG GANGSAL,Indragiri Hulu,1217.682636169017
WS BATANG GANGSAL,Tanjung Jabung Barat,42.213206172415376
WS BATANG GANGSAL,Tebo,3.1571286091644524
WS BATANG NATAL-BATANG BATAHAN,Mandailing Natal,2231.030413571183
WS BATANG NATAL-BATANG BATAHAN,Nias Selatan,1204.8722787659558
WS BATANG NATAL-BATANG BATAHAN,Pasaman Barat,672.8770591100167
WS BATANGHARI,Batanghari,4465.9159061858645
WS BATANGHARI,Bungo,4760.82699010068
WS BATANGHARI,Dharmasraya,2810.8289549620954
WS BATANGHARI,Indragiri Hilir,1.3980510343195425
WS BATANGHARI,Indragiri Hulu,26.912563351171222
WS BATANGHARI,Kerinci,2657.8386606554764
WS BATANGHARI,Kota Jambi,168.0950800791116
WS BATANGHARI,Kota Sungai Penuh,152.76070475926272
WS BATANGHARI,Kuantan Singingi,100.739567706873
WS BATANGHARI,Lebong,1.2778494918686298
WS BATANGHARI,Merangin,6669.786098175135
WS BATANGHARI,Muaro Jambi,3539.817791064983
WS BATANGHARI,Musi Banyuasin,97.26528834282736
WS BATANGHARI,Musi Rawas Utara,55.53511395610808
WS BATANGHARI,Pesisir Selatan,2.6012820019118754
WS BATANGHARI,Sarolangun,5560.001241859706
WS BATANGHARI,Sijunjung,661.0219638219513
WS BATANGHARI,Solok,1528.9573249571636
WS BATANGHARI,Solok Selatan,3278.704995352365
WS BATANGHARI,Tanjung Jabung Barat,35.98589820854573
